"ID","PERGUNTAS","RESPOSTAS","CLASSES","AUTORES","COMENTARIOS"
"1","Como opera o algoritmo Random Forest?","O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.","funcionamento","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein","Incluir referência em cada resposta. Pergunta e resposta em português. Definir classes"
"2","Qual é o mecanismo de funcionamento do Random Forest?","O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.","funcionamento","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"3","Quais são os passos executados pelo algoritmo de Floresta Randômica?","O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.","funcionamento","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"4","Como o Random Forest atua?","O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.","funcionamento","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"5","O que o Floresta Randômica faz?","O Floresta Randômica combina centenas de milhares de árvores de decisão e treina cada uma delas em um conjunto ligeiramente diferente de observações, dividindo os nodos em cada árvore de acordo com um número limitado de características. A predição final do Random Forest consiste na média das predições de cada uma das árvores individualmente consideradas.","funcionamento","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"6","Que problema do algoritmo Árvore de Decisão o Random Forest é capaz de superar?","Florestas de decisão randômica não têm a tendência de se ajustar demasiadamente ao conjunto de treino (overfitting), diversamente do que ocorre com as árvores de decisão. assim,enquanto que árvores de decisão crescidas até grandes profundidades tendem a aprender padrões altamente irregulares, apresentando baixo bias mas variâncias muito altas, as florestas randômicas, em contrapartida, obtêm êxito em reduzir a variância, aumentando a performance final do modelo, ao custo de um pequeno aumento no bias e de alguma perda de interpretabilidade. ","comparacao","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"7","Há alguma vantagem do algoritmo de Random Forest em comparação com o Decision Tree?","Florestas de decisão randômica não têm a tendência de se ajustar demasiadamente ao conjunto de treino (overfitting), diversamente do que ocorre com as árvores de decisão. assim,enquanto que árvores de decisão crescidas até grandes profundidades tendem a aprender padrões altamente irregulares, apresentando baixo bias mas variâncias muito altas, as florestas randômicas, em contrapartida, obtêm êxito em reduzir a variância, aumentando a performance final do modelo, ao custo de um pequeno aumento no bias e de alguma perda de interpretabilidade. ","comparacao","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"8","Há alguma diferença relevante nos resultados obtidos pelos algoritmos Floresta Randômica e Árvores de Decisão?","Florestas de decisão randômica não têm a tendência de se ajustar demasiadamente ao conjunto de treino (overfitting), diversamente do que ocorre com as árvores de decisão. assim,enquanto que árvores de decisão crescidas até grandes profundidades tendem a aprender padrões altamente irregulares, apresentando baixo bias mas variâncias muito altas, as florestas randômicas, em contrapartida, obtêm êxito em reduzir a variância, aumentando a performance final do modelo, ao custo de um pequeno aumento no bias e de alguma perda de interpretabilidade. ","comparacao","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"9","No tocante aos resultados obtidos, em que se diferenciam os algoritmos Floresta Randômica e Árvores de Decisão?","Florestas de decisão randômica não têm a tendência de se ajustar demasiadamente ao conjunto de treino (overfitting), diversamente do que ocorre com as árvores de decisão. assim,enquanto que árvores de decisão crescidas até grandes profundidades tendem a aprender padrões altamente irregulares, apresentando baixo bias mas variâncias muito altas, as florestas randômicas, em contrapartida, obtêm êxito em reduzir a variância, aumentando a performance final do modelo, ao custo de um pequeno aumento no bias e de alguma perda de interpretabilidade. ","comparacao","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
"10","No que tange aos resultados obtidos, em que se diferenciam os algoritmos Random Forest e Decision Tree?","Florestas de decisão randômica não têm a tendência de se ajustar demasiadamente ao conjunto de treino (overfitting), diversamente do que ocorre com as árvores de decisão. assim,enquanto que árvores de decisão crescidas até grandes profundidades tendem a aprender padrões altamente irregulares, apresentando baixo bias mas variâncias muito altas, as florestas randômicas, em contrapartida, obtêm êxito em reduzir a variância, aumentando a performance final do modelo, ao custo de um pequeno aumento no bias e de alguma perda de interpretabilidade. ","comparacao","Eduardo José Silva, Igor Brehm, Israel Deorce Jr e Lucas Stein",""
